Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR37630190,2026-03-18 18:16:50,2026-03-14 20:32:18,24133234,7239970200,24133234,300,4469,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR037/37630/SRR37630190/SRR37630190.lite.1,SRX32510575,Con1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,DNBSEQ,DNBSEQ-G50,SRP458043,PRJNA1011992,,1011992,SRS28402892,SAMN56511393,simple,9606,Homo sapiens,Con1,,,,,male,,no,,,,,RHODE ISLAND HOSPITAL,SRA2352224,,public,7738D6367584D4497851CB7161EF07A0,D3F3872C4F8AC9D06C29EADD35FD98E4
SRR37630189,2026-03-18 18:16:50,2026-03-14 20:32:47,24060564,7218169200,24060564,300,4441,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR037/37630/SRR37630189/SRR37630189.lite.1,SRX32510576,Con2,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,DNBSEQ,DNBSEQ-G50,SRP458043,PRJNA1011992,,1011992,SRS28402893,SAMN56511394,simple,9606,Homo sapiens,Con2,,,,,male,,no,,,,,RHODE ISLAND HOSPITAL,SRA2352224,,public,51790E299EF5544B2753045C7F125C1E,ED15D2407699EF31813872FD49245951
SRR37630182,2026-03-18 18:16:50,2026-03-14 20:28:20,24123316,7236994800,24123316,300,4432,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR037/37630/SRR37630182/SRR37630182.lite.1,SRX32510583,Con4,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,DNBSEQ,DNBSEQ-G50,SRP458043,PRJNA1011992,,1011992,SRS28402900,SAMN56511395,simple,9606,Homo sapiens,Con4,,,,,male,,no,,,,,RHODE ISLAND HOSPITAL,SRA2352224,,public,ADC40639DF729C220501BE985B6F8418,C60E0523E05BB58AFD91FE9C14CF4D8C
SRR37630181,2026-03-18 18:16:51,2026-03-14 20:27:59,24128467,7238540100,24128467,300,4353,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR037/37630/SRR37630181/SRR37630181.lite.1,SRX32510584,Con6,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,DNBSEQ,DNBSEQ-G50,SRP458043,PRJNA1011992,,1011992,SRS28402901,SAMN56511396,simple,9606,Homo sapiens,Con6,,,,,male,,no,,,,,RHODE ISLAND HOSPITAL,SRA2352224,,public,EBD081B5B74D6E98AF45BCF07460E225,805BAEE2B3ECB9B593CDD76D451CFBA5
SRR25872598,2026-03-18 18:16:52,2023-09-01 18:15:49,25446749,5089349800,25446749,200,3351,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR025/25872/SRR25872598/SRR25872598.lite.1,SRX21593213,R1CtlAZD,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,DNBSEQ,DNBSEQ-G50,SRP458043,PRJNA1011992,,1011992,SRS18770723,SAMN37233293,simple,9606,Homo sapiens,R1CtlAZD,,,,,male,,no,,,,,BRIGHAM AND WOMEN'S HOSPITAL,SRA1704114,,public,58E2927E4217CB89558E33877F92878B,ADD695DDA0047ED448AAF5D476E7B69A
SRR25872599,2026-03-18 18:16:52,2023-09-01 17:36:59,25141024,5028204800,25141024,200,3311,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR025/25872/SRR25872599/SRR25872599.lite.1,SRX21593212,R1CtlDMSO,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,DNBSEQ,DNBSEQ-G50,SRP458043,PRJNA1011992,,1011992,SRS18770722,SAMN37233292,simple,9606,Homo sapiens,R1CtlDMSO,,,,,male,,no,,,,,BRIGHAM AND WOMEN'S HOSPITAL,SRA1704114,,public,4F7F7882417AF2F5B38278F20325BC70,B0E911A809CC4A4FACDF46108EA4660D
SRR25872576,2026-03-18 18:16:51,2023-09-01 17:35:40,21471356,4294271200,21471356,200,2937,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR025/25872/SRR25872576/SRR25872576.lite.1,SRX21593235,R1CtlDual,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,DNBSEQ,DNBSEQ-G50,SRP458043,PRJNA1011992,,1011992,SRS18770745,SAMN37233295,simple,9606,Homo sapiens,R1CtlDual,,,,,male,,no,,,,,BRIGHAM AND WOMEN'S HOSPITAL,SRA1704114,,public,F178B712D11F6611A6BA9EB36460610A,CDFE5C3949337F4302134EA1873DCA83
SRR25872587,2026-03-18 18:16:51,2023-09-01 17:38:39,25731065,5146213000,25731065,200,3120,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR025/25872/SRR25872587/SRR25872587.lite.1,SRX21593224,R1CtlVB,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,DNBSEQ,DNBSEQ-G50,SRP458043,PRJNA1011992,,1011992,SRS18770734,SAMN37233294,simple,9606,Homo sapiens,R1CtlVB,,,,,male,,no,,,,,BRIGHAM AND WOMEN'S HOSPITAL,SRA1704114,,public,BC5108C1DE3A0B45DC3A17F98AA2211B,D3F896CD77B8AB4982E17D2A22CF9436
SRR25872572,2026-03-18 18:16:51,2023-09-01 17:36:56,20546992,4109398400,20546992,200,2812,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR025/25872/SRR25872572/SRR25872572.lite.1,SRX21593239,R1TGFbAZD,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,DNBSEQ,DNBSEQ-G50,SRP458043,PRJNA1011992,,1011992,SRS18770749,SAMN37233297,simple,9606,Homo sapiens,R1TGFbAZD,,,,,male,,no,,,,,BRIGHAM AND WOMEN'S HOSPITAL,SRA1704114,,public,505FE2E6288BCE379B23CB147A73BF56,2227562B5445FE8AC784B7066DC239C4
SRR25872573,2026-03-18 18:16:51,2023-09-01 17:38:29,25703542,5140708400,25703542,200,3504,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR025/25872/SRR25872573/SRR25872573.lite.1,SRX21593238,R1TGFbDMSO,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,DNBSEQ,DNBSEQ-G50,SRP458043,PRJNA1011992,,1011992,SRS18770748,SAMN37233296,simple,9606,Homo sapiens,R1TGFbDMSO,,,,,male,,no,,,,,BRIGHAM AND WOMEN'S HOSPITAL,SRA1704114,,public,69F6495A50DE97A6382A11E4A8121941,82637F32B1B6FAE0D9B514D80E3BB0FE
